Movie_Name,Genres,Revenue,Runtime,Year
Snow White and the Seven Dwarfs,Family,184925486.0,83.0,1945
Deadpool 2,Adventure,786365638.0,,2018
The Mummy,Fantasy,415885488.0,124.0,1999
The Simpsons Movie,Family,527068851.0,87.0,2007
The Forever Purge,Thriller,76994245.0,103.0,2021
Back to the Future,Science Fiction,381109762.0,116.0,1985
Heat,Thriller,187436818.0,170.0,1995
Incantation,Horror,5700000.0,111.0,2022
Tom & Jerry,Animation,132000000.0,101.0,2021
Penguins of Madagascar,Comedy,373552094.0,92.0,2014
Iron Man 3,Science Fiction,1214811252.0,130.0,2013
Pacific Rim,Adventure,407602906.0,131.0,2013
Corpse Bride,Animation,118133252.0,77.0,2005
A Bug's Life,Family,363258859.0,95.0,1998
Pulp Fiction,Crime,214179088.0,154.0,2011
Logan,Science Fiction,619021436.0,137.0,2017
Jeepers Creepers 2,Horror,63102666.0,104.0,2003
Nobody,Thriller,61779301.0,92.0,2021
Maze Runner: The Scorch Trials,Adventure,312296056.0,131.0,2015
Kung Fu Panda 2,Family,665692281.0,91.0,2011
Scary Movie 2,Comedy,141220678.0,83.0,2001
Naruto Shippuden the Movie: Blood Prison,Mystery,9100000.0,108.0,2011
American Psycho,Crime,34266564.0,102.0,2000
Monsters University,Family,743559607.0,104.0,2013
Apocalypto,History,120654337.0,139.0,2006
Brave,Fantasy,538983207.0,93.0,2012
Monster Hunter,Adventure,42145959.0,104.0,2020
Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),Crime,201858461.0,109.0,2020
The Adventures of Sharkboy and Lavagirl,Science Fiction,71992655.0,92.0,2005
Abraham Lincoln: Vampire Hunter,Horror,116471580.0,105.0,2012
Scary Movie 5,Comedy,78378744.0,86.0,2013
The Dark Knight Rises,Thriller,1081041287.0,165.0,2012
Evil Dead,Horror,97542952.0,96.0,2013
Aquaman,Fantasy,1148528393.0,143.0,2018
Parasite,Drama,257591776.0,133.0,2019
Bride of Chucky,Horror,50671850.0,89.0,1998
Taken,Thriller,226830568.0,94.0,2009
Blended,Comedy,127994610.0,117.0,2014
Wreck-It Ralph,Adventure,471222889.0,101.0,2012
The Twilight Saga: New Moon,Romance,709827462.0,131.0,2009
Death Race,Science Fiction,76014335.0,105.0,2008
Batman v Superman: Dawn of Justice,Fantasy,873637528.0,152.0,2016
Sing,Music,634151679.0,108.0,2016
Knowing,Thriller,155446362.0,121.0,2009
Maze Runner: The Death Cure,Thriller,288175335.0,143.0,2018
Chernobyl: Abyss,Mystery,6459306.0,136.0,2022
Project X,Comedy,102731865.0,88.0,2012
The Intouchables,Comedy,426588510.0,113.0,2012
Thor: The Dark World,Fantasy,644571402.0,112.0,2013
Pearl,Horror,9423445.0,102.0,2022
Ron's Gone Wrong,Comedy,60000000.0,107.0,2021
Spirit: Stallion of the Cimarron,Drama,122563539.0,83.0,2002
The Jungle Book,Adventure,205843612.0,78.0,1967
Despicable Me,Crime,533679475.0,95.0,2010
The Meg,Horror,530243742.0,113.0,2018
Predator,Thriller,98267558.0,107.0,1987
Ava,Thriller,2987741.0,96.0,2020
The Hangover Part II,Comedy,586764305.0,102.0,2011
Mad Max: Fury Road,Science Fiction,378858340.0,121.0,2015
The Equalizer,Crime,192330738.0,132.0,2014
Lilo & Stitch,Family,273144151.0,85.0,2002
Shazam!,Fantasy,366080049.0,132.0,2019
Guardians of the Galaxy Vol. 2,Science Fiction,863756051.0,137.0,2017
Incredibles 2,Family,1242805359.0,118.0,2018
Fruitvale Station,Drama,17549645.0,82.0,2013
Pirates of the Caribbean: Dead Men Tell No Tales,Fantasy,794861794.0,128.0,2017
Dragon Ball Z: Cooler's Revenge,Science Fiction,16331742.0,,1991
Scooby-Doo,Comedy,275650703.0,88.0,2002
Aladdin,Romance,504050219.0,90.0,1992
Mulan,Action,66800000.0,115.0,2020
Scream,Mystery,173046663.0,112.0,1997
Despicable Me 2,Family,970761885.0,98.0,2013
Taken 2,Thriller,376141306.0,91.0,2012
Don't Breathe 2,Horror,53785551.0,98.0,2021
Hatching,Fantasy,490000.0,91.0,2022
Ava,Drama,500000.0,106.0,2017
Scarface,Drama,66023329.0,169.0,1983
Meet Joe Black,Romance,142940100.0,178.0,1998
Man of Steel,Science Fiction,754045518.0,143.0,2013
"Salò, or the 120 Days of Sodom",Horror,22017.0,117.0,2003
Where the Crawdads Sing,Thriller,127000000.0,125.0,2022
Dawn of the Planet of the Apes,Thriller,710644566.0,130.0,2014
The Addams Family,Fantasy,191502426.0,102.0,2000
The Grinch,Fantasy,508575295.0,85.0,2018
Lolita,Drama,1071255.0,137.0,1997
How the Grinch Stole Christmas,Fantasy,345823040.0,104.0,2000
Captain Marvel,Science Fiction,1128276090.0,124.0,2019
Just Go with It,Romance,214945591.0,117.0,2011
Jumanji: Welcome to the Jungle,Fantasy,962102237.0,119.0,2017
Insurgent,Thriller,295238201.0,119.0,2015
Dragon Ball Z: Bojack Unbound,Science Fiction,20100000.0,,1993
Beauty and the Beast,Romance,1263521126.0,129.0,2017
The Blind Side,Drama,309208309.0,129.0,2009
Vesper,Adventure,889529.0,112.0,2022
Ice Age: The Meltdown,Adventure,660998756.0,91.0,2006
Madagascar 3: Europe's Most Wanted,Adventure,746921274.0,93.0,2012
Ted,Fantasy,549368315.0,107.0,2012
Whiplash,Music,13092000.0,107.0,2014
Pacific Rim: Uprising,Adventure,290061297.0,111.0,2018
Love & Other Drugs,Romance,102820008.0,112.0,2010
The Passion of the Christ,Drama,611899420.0,127.0,2004
Matilda,Fantasy,33459416.0,98.0,1996
Annabelle Comes Home,Thriller,231252591.0,106.0,2019
Maleficent,Romance,758539785.0,97.0,2014
Maleficent: Mistress of Evil,Action,491730089.0,119.0,2019
Justice League,Science Fiction,657926987.0,,2017
White Chicks,Crime,113086475.0,109.0,2004
Crank,Crime,42931041.0,88.0,2006
Madagascar: Escape 2 Africa,Comedy,603900354.0,89.0,2008
Baby Driver,Crime,226945087.0,113.0,2017
Pokémon Detective Pikachu,Fantasy,433005346.0,105.0,2019
Brother Bear,Family,250397798.0,85.0,2003
Snake Eyes: G.I. Joe Origins,Adventure,36964325.0,121.0,2021
Crank: High Voltage,Crime,34560577.0,96.0,2009
Teen Wolf,Romance,80000000.0,91.0,1985
Dinosaur,Animation,354248063.0,82.0,2000
A Silent Voice: The Movie,Drama,30156463.0,130.0,2017
Orphan,Mystery,77912251.0,123.0,2009
Power Rangers,Science Fiction,142337240.0,124.0,2017
Prometheus,Mystery,403354469.0,124.0,2012
Ice Age: Continental Drift,Family,877244782.0,88.0,2012
Journey 2: The Mysterious Island,Science Fiction,355692760.0,94.0,2012
Pixels,Science Fiction,244874809.0,105.0,2015
Shutter Island,Mystery,294800000.0,138.0,2010
Greenland,Drama,52300000.0,,2020
Kingsman: The Secret Service,Adventure,414351546.0,129.0,2015
Hancock,Action,629443428.0,92.0,2008
Inglourious Basterds,War,321457747.0,153.0,2009
Rio,Family,484635760.0,96.0,2011
Dragon Ball Z: Fusion Reborn,Science Fiction,23500000.0,,1995
BTS: Yet To Come in Cinemas,Music,9100000.0,103.0,2023
The Unbearable Weight of Massive Talent,Crime,29116320.0,107.0,2022
Black Water: Abyss,Adventure,1117982.0,98.0,2020
It,Fantasy,701842551.0,135.0,2017
The Hunger Games: Catching Fire,Science Fiction,865011746.0,146.0,2013
Call Me by Your Name,Drama,41063475.0,132.0,2018
Troy,Action,497409852.0,163.0,2004
The Incredibles,Family,631442092.0,115.0,2004
The Hunger Games: Mockingjay - Part 2,Science Fiction,653428261.0,137.0,2015
The Godfather Part II,Crime,102600000.0,202.0,1974
Star Wars: The Force Awakens,Fantasy,2068223624.0,136.0,2015
Pokemon the Movie: Mewtwo Strikes Back - Evolution,Family,26654184.0,98.0,2020
WALL·E,Science Fiction,521311860.0,98.0,2008
"Love, Rosie",Romance,4439431.0,102.0,2015
Aladdin,Family,1047612394.0,127.0,2019
Saving Private Ryan,War,481840909.0,169.0,1998
Knock Knock,Horror,6341684.0,99.0,2015
Chicken Run,Family,224834564.0,84.0,2000
Army of the Dead,Thriller,780000.0,148.0,2021
Jupiter Ascending,Action,183987723.0,127.0,2015
Sex Tape,Comedy,126069509.0,97.0,2014
The Burning Sea,Thriller,2836382.0,104.0,2021
Below Her Mouth,Romance,33673.0,92.0,2017
Alien,Science Fiction,104931801.0,117.0,1979
Shut In,Drama,304106.0,90.0,2022
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,20109115.0,89.0,1996
King,Family,2551835.0,105.0,2022
Ponyo,Family,202404009.0,100.0,2008
X-Men: Apocalypse,Fantasy,543934787.0,144.0,2016
42,Drama,95020213.0,128.0,2013
Nightmare Alley,Thriller,39629195.0,150.0,2022
The Hangover Part III,Comedy,362000072.0,100.0,2013
Law Abiding Citizen,Thriller,127944208.0,109.0,2009
Mission: Impossible - Fallout,Adventure,791657398.0,147.0,2018
Garfield,Family,200804534.0,80.0,2004
Star Wars: The Last Jedi,Science Fiction,1332698830.0,152.0,2017
Baywatch,Crime,177856751.0,116.0,2017
